Post URL,User,Author Name,Likes,Views,Shares,Comments,Comments Data,Caption,HashTags,Music,Date Posted,Date Collected
https://www.tiktok.com/@jaadiee/7198199504405843205,jaadiee,Jaadiee,14600000,105300000,338200,114200,"['this world finna end', 'Gramps got it']",Replying to @Big T. Styling the Big Red Boot 🅱️🥵👴🏻 ,#gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy ,HOTEL LOBBY (Unc & Phew),2023-02-09 22:20:28,2023-11-18 21:29:03.350124
https://www.tiktok.com/@_valentinemoon_/7017520592807103749,_valentinemoon_,Rosie Somerville,12400000,94900000,82600,76500,"['imagine having to use the bathroom right when u get ready 😭', 'I love it and that is a LOT of layers']",Thank you sm for letting me know  my videos are being stolen! I have reported them so hopefully they get taken down ❤️ ,#disney #sewing #fashion #diy,"Try Everything (From ""Zootopia"")",2021-10-11 00:53:57,2023-11-18 21:29:05.237500
https://www.tiktok.com/@quentaloup/7248033321270136070,quentaloup,Quentaloup,11000000,56900000,84300,54000,"['this is so conan gray', 'i feel like Conan Gray would wear this']",❤️ so proud of this project !  ,#craft #fashion #diy #beadedjewelry  ,Attention,2023-06-24 05:21:08,2023-11-18 21:29:06.982254
https://www.tiktok.com/@gioz111/7130344602581650693,gioz111,GIO,10300000,70000000,13000,12800,"['Ok but like imagine how iconic it would have been if the moths started to come out as the model was walking', ""I tought IT was Some Kind of gold .... didn't expected moths 😭 💀""]",Cruella hace un vestido con capullos de polillas ,#parati #cruella #polilla #dress #fashion #disney #diseñodemoda #emmastone,Love You So,2022-08-11 01:48:46,2023-11-18 21:29:09.036121
https://www.tiktok.com/@jaadiee/6865297338781519110,jaadiee,Jaadiee,9800000,61300000,189200,61700,"['Dripppy drip', 'Grandpa got dripp']",Grateful Gramps 👴🏻💛 ,#gramps #opa #streetwear #fashion #drake #mode #makeover,Know Yourself,2020-08-26 19:50:04,2023-11-18 21:29:11.296967
https://www.tiktok.com/@nickelodeon/6939314340780625158,nickelodeon,Nickelodeon,9700000,56700000,179400,98000,"['She looks mad 😌', 'Gottem']",slime looks good on ya @charlidamelio 💚 ,#kca #slime #charlidamelio #surprise #fashion #slimed,original sound,2021-03-14 06:53:48,2023-11-18 21:29:13.178778
https://www.tiktok.com/@jaadiee/7199683549602073862,jaadiee,Jaadiee,9300000,48200000,257700,78700,"['Unmatchable DRIP 🔥', 'Lovely couple 🥰🥰🥰']",Ready for their date 🥹💐  ,#grwm #valentinesday #vday #date #gramps #grandparents #fashion #streetwear #style ,Love songX,2023-02-13 22:19:19,2023-11-18 21:29:15.139931
https://www.tiktok.com/@hahahallberg/7204888387323530501,hahahallberg,Daniel Hallberg,8900000,124100000,60300,30900,"[""it's criticism on fast fashion"", 'thats honestly a cool concept']",@AVAVAV Fashion Show  ,#milanfashionweek #fail #fashionfail #fashionweek #funny #lol #fashion ,Benny Hill Theme,2023-02-27 22:56:44,2023-11-18 21:29:17.380337
https://www.tiktok.com/@deannagiulietti/6916914133887716613,deannagiulietti,Deanna Giulietti,8000000,44300000,12900,15300,"['GURL WHY U CRYING?! IT LOOKS SO GOOD EITHER WAY❤❤ you always look amazing🥺❤', 'that blue looks amazing on you!!']",She is righting her wrongs. ,#ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,original sound,2021-01-12 22:09:47,2023-11-18 21:29:19.139865
https://www.tiktok.com/@crescentshay/6930038872109812998,crescentshay,Shay,7800000,34300000,50900,68800,"['@mysticc_clouddx yuppie she making my future dresses this is nice', '@gogo_squeeeze i want to make thisss']","🐸 making a frog dress 🐸 (this is part 1, the base dress. part 2 will have the coat!) ",#frogtok #fashion #diy #frog,Campus,2021-02-17 07:00:26,2023-11-18 21:29:21.211905
https://www.tiktok.com/@luv_cheeds/7255823289430412586,luv_cheeds,Stitch Demon,7000000,36300000,147000,50900,"['“Baggiest jeans in Atlanta”😭', 'tHE JUMP 😭😭😭']",,#stitch with @FITXFEARLESS i cant feel my bottom half hut at least i dont look homeless #fyp#viral#homeless#classy#fashion,original sound,2023-07-15 05:10:22,2023-11-18 21:29:23.041120
https://www.tiktok.com/@mood_m1221/6978365096766508294,mood_m1221,Mood,6600000,36900000,119900,149200,"['i’m sorry but it’s the fact that she continued tripping that made me laugh😭', 'omg I feel so bad for her\nshe must feel so embarrassed']","The sad thing about the fashion runway, this girl suffered😔 ",#runway #sadgirl #sad #model #foryou #supermodel #design #pfw #fashion,billie eilish bellyache slowed reverb,2021-06-27 12:30:46,2023-11-18 21:29:25.119413
https://www.tiktok.com/@ceci.monge/6964798580116688134,ceci.monge,Ceci.monge,6500000,23100000,82100,118400,"['Do better @converse and PAY UP', 'Omg this needs to be SEEN!']",Ouch @converse ,#internship #design #smalldesigner #plzstopstealing #fashion #TWDSurvivalChallenge #fyp,original sound,2021-05-21 23:05:39,2023-11-18 21:29:27.184335
https://www.tiktok.com/@iconic_modelss/7148142149866097926,iconic_modelss,MODELS,6400000,29300000,13800,16400,"['Can you make one of Guo Pei please? 🥰', 'This is ART literally masterpieces ✨']",Schiaparelli by Daniel Roseberry | ,#schiaparelli #danielroseberry #fashion ,original sound,2022-09-28 00:52:22,2023-11-18 21:29:29.158575
https://www.tiktok.com/@coristrike/7127803333208968494,coristrike,Cori Strike,6400000,28800000,60000,43400,"['can it be a jumper😂', '@Thneed Girl where are you']",@rachleahx is gonna eat this up 💀,#PostitAffirmations #fashion #ootd #styling #thneed,How Bad Can I Be?,2022-08-04 05:27:21,2023-11-18 21:29:31.727291
https://www.tiktok.com/@farrisfilms/7082392210632723754,farrisfilms,FarrisFilms,6300000,41200000,30200,34000,"['Me when I type “lmfao”', 'I thought he was gonna smirk 😭']",You barely get wet on this ride 😐 @thatstraightfaceguy ,#fyp #foryou #AFairShotWithBlock #fashion #lifeadvice,original sound,2022-04-03 20:28:58,2023-11-18 21:29:33.557537
https://www.tiktok.com/@vivacious.honey/7029001518082936111,vivacious.honey,Vanessa Chen,6100000,55900000,35200,15800,"['2nd fit I would switch LOL it’s backwards', 'day']",Team DAY or NIGHT? ☀️🌙 OUTFITS ON MY LTK ‼️ ,#fyp #foryou #fashiontok #inspo #aesthetic #fashion #ootd #outfit #style #fallfashion #winterfashion,SAD GIRLZ LUV MONEY - Remix,2021-11-10 23:25:51,2023-11-18 21:29:35.299283
https://www.tiktok.com/@dymon98/6994074972683603205,dymon98,Dymon💎,6000000,19300000,83700,79000,"['imagine trying to match your outfits with your hair everyday', 'is it like hairspray or does he dye his hair everyday']",Why be like everyone else? ,#haircut  #fypage #fashion #glowup,TYSM FOR USING THIS SOUND,2021-08-08 20:32:59,2023-11-18 21:29:36.921426
https://www.tiktok.com/@denisemmercedes/6798575975421463814,denisemmercedes,Denise Mercedes,6000000,37600000,56700,33300,"['people don\'t understand that the point is style not size, it doesn\'t matter what size you are you can rock it. it\'s not about ""who wore it best""', 'wouwww both of you are beautifull 🥰']","My mini series with my bff @mariacastellanos_ri called “Style, Not Size”! Looks from ","#Zara Which outfit was your fav? 1, 2, or 3?! #fashion",Say So,2020-02-29 00:37:05,2023-11-18 21:29:38.804980
https://www.tiktok.com/@crescentshay/6913715799643639045,crescentshay,Shay,5900000,22100000,83700,61700,"['ngl, I was a bit burnt out after the social distancing dress - I’ll be back to bigger projects, but this little dress was a well needed break 😌💛', 'omggggg i would murder for a chance to wear a dress like that']",making my dream cottagecore dress (aka my daisy dress 🌼) - inspired by the strawberry dress! ,#diy #fashion #cottagecore #strawberrydress,Line Without a Hook,2021-01-04 07:18:35,2023-11-18 21:29:40.832628
https://www.tiktok.com/@sh1ryinyin/6847003743809015046,sh1ryinyin,Sh1ryinyin,5900000,43800000,272100,71600,"['oh to be ✨s k i n n y✨', 'Is it just me or are they FREAKINF TALL?? And damnn let me leave The Netherlands asap😔']",Take me back to China😫 ,#fashion #streetwear #xyzbca,How You Like That,2020-07-08 12:41:41,2023-11-18 21:29:42.603959
https://www.tiktok.com/@crescentshay/6884764760387128582,crescentshay,Shay,5900000,31100000,19100,25500,"['imagine just being like “i’m bored… i think i’ll make a dress” i wish i had that kind of talent', ""@emy.bvn it's so bautiful""]","making a 12ft social distancing dress - part 1: the hoopskirt! part 2 is going to be the overskirt, bodice, and a matching mask! 💕 ",#diy #fashion,You Know It,2020-10-18 06:54:04,2023-11-18 21:29:44.359479
https://www.tiktok.com/@elf3141592/7084799954362944773,elf3141592,ELF3141592,5800000,53600000,36700,32500,"['The :poser😁\ncamera memory-💀💀💀', 'Can we see reults?']",Can you learn these moves?,#pose #fashion #uktiktok #photo #fyp,original sound,2022-04-10 08:12:15,2023-11-18 21:29:46.243253
https://www.tiktok.com/@annavgantt/7021248231778585862,annavgantt,Anna Gantt,5800000,32700000,59400,76900,"['It’s crazy bc realistically your size is the beauty standard, casting directors stuck in the 2000’s', 'BOOSTING THIS']",Welcome to the reality of modeling in NYC. I'm so crushed. ,#fyp #nyc #modeling #fashion #model #nyclife,original sound,2021-10-21 01:59:06,2023-11-18 21:29:48.226538
https://www.tiktok.com/@nico1eodeon/7139310982605704494,nico1eodeon,Nicole,5700000,30700000,6564,18300,"['Gosh you’re pretty', 'On Wednesdays we wear pink 💅']",Being a pe teacher would be sm fun 🧘🏾‍♀️,#fyp#fashion ,,2022-09-04 05:42:53,2023-11-18 21:29:50.049675
https://www.tiktok.com/@mikaylanogueira/6964088633653497094,mikaylanogueira,Mikayla Nogueira,5600000,24600000,63900,21600,"['Waiting for the Shein version 😂😂😂', 'this is prob what k-pop idols wear']",$70.00 sports bra? 🤔 ignore how dirty my leggings are lmfao ,#makeup #beauty #fashion,original sound,2021-05-20 01:10:42,2023-11-18 21:29:52.205755
https://www.tiktok.com/@ebond2338/6852361592852483334,ebond2338,Erin,5600000,22800000,79400,27400,"['Cute but commando in jeans always feels weird', 'i’m just wondering but HOW do u wear jeans like this...like....undie wise?? they’re so cute but idk how to wear them 😐']","Once again, quarantine has ignited my love for crafting. I hope y’all enjoyed me ￼upcycling these jeans☺️ ",#upcycle #crafty #foryou #fashion,original sound,2020-07-22 23:12:42,2023-11-18 21:29:53.928509
https://www.tiktok.com/@denisemmercedes/6802636680881900805,denisemmercedes,Denise Mercedes,5500000,37500000,34300,26600,"['you two are so pretty and adorable!!', 'Both of you are beautiful Queens 👑❤️❤️👏🏻👏🏻🥺🥺']","Style, not size ep 4 with @mariacastellanos_ri Items from @superdown ! Which one is your favorite outfit? ",#fashion #superdown #bffgoals,New Rules,2020-03-10 23:14:48,2023-11-18 21:29:55.893849
https://www.tiktok.com/@einfachminh/7059341527121693958,einfachminh,einfachminh,5500000,38100000,76300,12600,"['And what should I do if my entire body is not photogenic? 😅', 'Bro I was expecting some safe poses .. not a suggestion to cover my face 😂😂']",4 poses for non-photogenic people ,#part2 💫 #fyp #foryoupage #fashion #foryou #style #pose,abcdefu,2022-01-31 17:40:33,2023-11-18 21:29:57.470687
https://www.tiktok.com/@shiftrobotics/7242322222776323371,shiftrobotics,Shift Robotics,5400000,60600000,70100,24100,"['You know what….I actually want this', 'This is what I feel like walking on the moving walkway in airports']",Walker faster together 🚶🚶‍♀️ ,#innovation #Moonwalkers #Technology #fashion #industry40 ,Slide,2023-06-08 19:59:15,2023-11-18 21:29:59.854798
https://www.tiktok.com/@minging888/6881121438632267010,minging888,黃吉吉的無聊日子,17700000,148300000,1200000,92700,"[""Omg looks exactly like puppy..I found my fur baby's sibling😳😳😳 🥺🥺🥺"", '🥰🥰🥰🥰 How sweet 🥰🥰']",,#dogsoftiktok #dogs #puppy #fyp #outfit I alway choice my outfit✌️✌️✌️🤣🤣,Tampa Curhat Beat,2020-10-08 11:15:36,2023-11-18 21:30:02.530469
